Flotte | Profil | Sektor | Laeufe | Sieg% | Rueckzug% | Wipe% | oVerlust% | schlechtester Verlust% | Runden
gross | voll | niedrig | 96 | 100 | 0 | 0 | 1.0 | 2 | 10
gross | voll | mittel | 96 | 100 | 0 | 0 | 2.0 | 7 | 14
gross | voll | hoch | 96 | 100 | 0 | 0 | 2.1 | 9 | 14
gross | voll | elite | 96 | 100 | 0 | 0 | 4.1 | 18 | 18
gross | voll_noboost | niedrig | 96 | 100 | 0 | 0 | 1.5 | 4 | 14
gross | voll_noboost | mittel | 96 | 100 | 0 | 0 | 3.6 | 12 | 19
gross | voll_noboost | hoch | 96 | 100 | 0 | 0 | 4.5 | 20 | 19
gross | voll_noboost | elite | 96 | 100 | 0 | 0 | 9.1 | 36 | 28
gross | mittel | niedrig | 96 | 100 | 0 | 0 | 1.5 | 4 | 14
gross | mittel | mittel | 96 | 100 | 0 | 0 | 3.5 | 8 | 20
gross | mittel | hoch | 96 | 100 | 0 | 0 | 3.5 | 10 | 18
gross | mittel | elite | 96 | 100 | 0 | 0 | 6.1 | 27 | 24
gross | schwach | niedrig | 96 | 100 | 0 | 0 | 5.4 | 12 | 38
gross | schwach | mittel | 96 | 89 | 11 | 0 | 12.5 | 27 | 59
gross | schwach | hoch | 96 | 91 | 9 | 0 | 16.8 | 39 | 67
gross | schwach | elite | 96 | 53 | 47 | 0 | 28.0 | 47 | 83
klein | voll | niedrig | 96 | 100 | 0 | 0 | 0.0 | 0 | 8
klein | voll | mittel | 96 | 100 | 0 | 0 | 0.4 | 3 | 12
klein | voll | hoch | 96 | 100 | 0 | 0 | 1.5 | 4 | 20
klein | voll | elite | 96 | 100 | 0 | 0 | 3.0 | 32 | 27
klein | voll_noboost | niedrig | 96 | 100 | 0 | 0 | 0.0 | 3 | 9
klein | voll_noboost | mittel | 96 | 100 | 0 | 0 | 2.4 | 6 | 17
klein | voll_noboost | hoch | 96 | 100 | 0 | 0 | 4.6 | 14 | 26
klein | voll_noboost | elite | 96 | 97 | 3 | 0 | 9.1 | 91 | 41
klein | mittel | niedrig | 96 | 100 | 0 | 0 | 0.0 | 0 | 9
klein | mittel | mittel | 96 | 100 | 0 | 0 | 0.1 | 1 | 17
klein | mittel | hoch | 96 | 100 | 0 | 0 | 1.3 | 6 | 23
klein | mittel | elite | 96 | 100 | 0 | 0 | 4.3 | 50 | 35
klein | schwach | niedrig | 96 | 100 | 0 | 0 | 0.4 | 2 | 23
klein | schwach | mittel | 96 | 100 | 0 | 0 | 5.5 | 39 | 42
klein | schwach | hoch | 96 | 92 | 8 | 0 | 13.5 | 93 | 65
klein | schwach | elite | 96 | 46 | 54 | 0 | 41.4 | 93 | 84
